trip_id,driver_id,city,start_ts,end_ts,fare_sar,distance_km
SYN_T0001,SYN_D001,Riyadh,2026-06-01T06:00:00+03:00,2026-06-01T06:08:00+03:00,18.00,3.50
SYN_T0002,SYN_D002,Riyadh,2026-06-01T08:00:00+03:00,2026-06-01T08:11:00+03:00,19.25,3.85
SYN_T0003,SYN_D001,Riyadh,2026-06-01T10:00:00+03:00,2026-06-01T10:14:00+03:00,20.50,4.20
SYN_T0004,SYN_D002,Riyadh,2026-06-01T12:00:00+03:00,2026-06-01T12:17:00+03:00,21.75,4.55
SYN_T0005,SYN_D001,Riyadh,2026-06-01T14:00:00+03:00,2026-06-01T14:20:00+03:00,23.00,4.90
SYN_T0006,SYN_D002,Riyadh,2026-06-01T16:00:00+03:00,2026-06-01T16:23:00+03:00,24.25,5.25
SYN_T0007,SYN_D001, riyadh ,2026-06-01T18:00:00+03:00,2026-06-01T18:26:00+03:00,25.50,5.60
SYN_T0008,SYN_D002,Riyadh,2026-06-01T20:00:00+03:00,2026-06-01T20:29:00+03:00,26.75,5.95
SYN_T0009,SYN_D003,Jeddah,2026-06-01T06:05:00+03:00,2026-06-01T06:15:00+03:00,19.80,4.10
SYN_T0010,SYN_D004,Jeddah,2026-06-01T08:05:00+03:00,2026-06-01T08:18:00+03:00,21.05,4.45
SYN_T0011,SYN_D003,Jeddah,2026-06-01T10:05:00+03:00,2026-06-01T10:21:00+03:00,22.30,4.80
SYN_T0012,SYN_D004,Jeddah,2026-06-01T12:05:00+03:00,2026-06-01T12:24:00+03:00,23.55,5.15
SYN_T0013,SYN_D003,Jeddah,2026-06-01T14:05:00+03:00,2026-06-01T14:27:00+03:00,24.80,5.50
SYN_T0014,SYN_D004, jeddah ,2026-06-01T16:05:00+03:00,2026-06-01T16:30:00+03:00,26.05,5.85
SYN_T0015,SYN_D003,Jeddah,2026-06-01T18:05:00+03:00,2026-06-01T18:33:00+03:00,27.30,6.20
SYN_T0016,SYN_D004,Jeddah,2026-06-01T20:05:00+03:00,2026-06-01T20:36:00+03:00,28.55,6.55
SYN_T0017,SYN_D005,Dammam,2026-06-01T06:10:00+03:00,2026-06-01T06:22:00+03:00,21.60,4.70
SYN_T0018,SYN_D006,Dammam,2026-06-01T08:10:00+03:00,2026-06-01T08:25:00+03:00,22.85,5.05
SYN_T0019,SYN_D005,Dammam,2026-06-01T10:10:00+03:00,2026-06-01T10:28:00+03:00,24.10,5.40
SYN_T0020,SYN_D006,Dammam,2026-06-01T12:10:00+03:00,2026-06-01T12:31:00+03:00,25.35,5.75
SYN_T0021,SYN_D005, dammam ,2026-06-01T14:10:00+03:00,2026-06-01T14:34:00+03:00,26.60,6.10
SYN_T0022,SYN_D006,Dammam,2026-06-01T16:10:00+03:00,2026-06-01T16:37:00+03:00,27.85,6.45
SYN_T0023,SYN_D005,Dammam,2026-06-01T18:10:00+03:00,2026-06-01T18:40:00+03:00,29.10,6.80
SYN_T0024,SYN_D006,Dammam,2026-06-01T20:10:00+03:00,2026-06-01T20:43:00+03:00,30.35,7.15
SYN_T0025,SYN_D001,Riyadh,2026-06-02T06:00:00+03:00,2026-06-02T06:09:00+03:00,18.75,3.60
SYN_T0026,SYN_D002,Riyadh,2026-06-02T08:00:00+03:00,2026-06-02T08:12:00+03:00,20.00,3.95
SYN_T0027,SYN_D001,Riyadh,2026-06-02T10:00:00+03:00,2026-06-02T10:15:00+03:00,21.25,4.30
SYN_T0028,SYN_D002, riyadh ,2026-06-02T12:00:00+03:00,2026-06-02T12:18:00+03:00,22.50,4.65
SYN_T0029,SYN_D001,Riyadh,2026-06-02T14:00:00+03:00,2026-06-02T14:21:00+03:00,23.75,5.00
SYN_T0030,SYN_D002,Riyadh,2026-06-02T16:00:00+03:00,2026-06-02T16:24:00+03:00,25.00,5.35
SYN_T0031,SYN_D001,Riyadh,2026-06-02T18:00:00+03:00,2026-06-02T18:27:00+03:00,26.25,5.70
SYN_T0032,SYN_D002,Riyadh,2026-06-02T20:00:00+03:00,2026-06-02T20:30:00+03:00,27.50,6.05
SYN_T0033,SYN_D003,Jeddah,2026-06-02T06:05:00+03:00,2026-06-02T06:16:00+03:00,20.55,4.20
SYN_T0034,SYN_D004,Jeddah,2026-06-02T08:05:00+03:00,2026-06-02T08:19:00+03:00,21.80,4.55
SYN_T0035,SYN_D003, jeddah ,2026-06-02T10:05:00+03:00,2026-06-02T10:22:00+03:00,23.05,4.90
SYN_T0036,SYN_D004,Jeddah,2026-06-02T12:05:00+03:00,2026-06-02T12:25:00+03:00,24.30,5.25
SYN_T0037,SYN_D003,Jeddah,2026-06-02T14:05:00+03:00,2026-06-02T14:28:00+03:00,25.55,5.60
SYN_T0038,SYN_D004,Jeddah,2026-06-02T16:05:00+03:00,2026-06-02T16:31:00+03:00,26.80,5.95
